Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/157.png,Bayern Munich,34,29,3,2,94,23,71,90,WWWWL,UEFA Champions League,15,1,1,48,15,14,2,1,46,8
2,https://media.api-sports.io/football/teams/165.png,Borussia Dortmund,34,22,5,7,80,38,42,71,WWDWW,UEFA Champions League,11,2,4,41,19,11,3,3,39,19
3,https://media.api-sports.io/football/teams/174.png,FC Schalke 04,34,19,7,8,63,43,20,64,WWLLW,UEFA Champions League,12,2,3,37,16,7,5,5,26,27
4,https://media.api-sports.io/football/teams/168.png,Bayer Leverkusen,34,19,4,11,60,41,19,61,WWDWW,UEFA Champions League Qualifiers,10,3,4,35,22,9,1,7,25,19
5,https://media.api-sports.io/football/teams/161.png,VfL Wolfsburg,34,18,6,10,63,50,13,60,WWDWW,UEFA Europa League,11,3,3,37,22,7,3,7,26,28
6,https://media.api-sports.io/football/teams/163.png,Borussia Monchengladbach,34,16,7,11,59,43,16,55,LWWLD,UEFA Europa League,11,3,3,38,17,5,4,8,21,26
7,https://media.api-sports.io/football/teams/164.png,FSV Mainz 05,34,16,5,13,52,54,-2,53,WLWLW,,10,3,4,28,17,6,2,9,24,37
8,https://media.api-sports.io/football/teams/170.png,FC Augsburg,34,15,7,12,47,47,0,52,WWWDL,,9,3,5,27,22,6,4,7,20,25
9,https://media.api-sports.io/football/teams/167.png,1899 Hoffenheim,34,11,11,12,72,70,2,44,WLDLW,,7,6,4,43,31,4,5,8,29,39
10,https://media.api-sports.io/football/teams/166.png,Hannover 96,34,12,6,16,46,59,-13,42,WWDWW,,8,5,4,27,25,4,1,12,19,34
11,https://media.api-sports.io/football/teams/159.png,Hertha Berlin,34,11,8,15,40,48,-8,41,LLWDL,,6,3,8,20,24,5,5,7,20,24
12,https://media.api-sports.io/football/teams/162.png,Werder Bremen,34,10,9,15,42,66,-24,39,LWLWL,,6,6,5,21,30,4,3,10,21,36
13,https://media.api-sports.io/football/teams/169.png,Eintracht Frankfurt,34,9,9,16,40,57,-17,36,LLDLL,,5,5,7,22,24,4,4,9,18,33
14,https://media.api-sports.io/football/teams/160.png,SC Freiburg,34,9,9,16,43,61,-18,36,LLDWW,,6,4,7,25,30,3,5,9,18,31
15,https://media.api-sports.io/football/teams/172.png,VfB Stuttgart,34,8,8,18,49,62,-13,32,LLDWD,,5,4,8,28,28,3,4,10,21,34
16,https://media.api-sports.io/football/teams/175.png,Hamburger SV,34,7,6,21,51,75,-24,27,LLLLL,Relegation Play-off,5,3,9,24,34,2,3,12,27,41
17,https://media.api-sports.io/football/teams/171.png,FC Nurnberg,34,5,11,18,37,70,-33,26,LLLLL,Relegation,3,5,9,16,32,2,6,9,21,38
18,https://media.api-sports.io/football/teams/744.png,Eintracht Braunschweig,34,6,7,21,29,60,-31,25,LLLLL,Relegation,5,3,9,18,24,1,4,12,11,36
