Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/157.png,Bayern Munich,34,28,4,2,80,17,63,88,WWDWW,UEFA Champions League,15,1,1,51,8,13,3,1,29,9
2,https://media.api-sports.io/football/teams/165.png,Borussia Dortmund,34,24,6,4,82,34,48,78,DLWWW,UEFA Champions League,14,3,0,49,14,10,3,4,33,20
3,https://media.api-sports.io/football/teams/168.png,Bayer Leverkusen,34,18,6,10,56,40,16,60,WLWWW,UEFA Champions League,10,3,4,31,17,8,3,6,25,23
4,https://media.api-sports.io/football/teams/163.png,Borussia Monchengladbach,34,17,4,13,67,50,17,55,WWDWL,UEFA Champions League Qualifiers,13,1,3,42,18,4,3,10,25,32
5,https://media.api-sports.io/football/teams/174.png,FC Schalke 04,34,15,7,12,51,49,2,52,WDWLL,UEFA Europa League,8,5,4,28,24,7,2,8,23,25
6,https://media.api-sports.io/football/teams/164.png,FSV Mainz 05,34,14,8,12,46,42,4,50,DWDLL,UEFA Europa League,8,4,5,23,18,6,4,7,23,24
7,https://media.api-sports.io/football/teams/159.png,Hertha Berlin,34,14,8,12,42,42,0,50,DLLLL,,9,5,3,24,15,5,3,9,18,27
8,https://media.api-sports.io/football/teams/161.png,VfL Wolfsburg,34,12,9,13,47,49,-2,45,WWLLL,,9,5,3,32,17,3,4,10,15,32
9,https://media.api-sports.io/football/teams/192.png,FC Koln,34,10,13,11,38,42,-4,43,DDDWW,,5,5,7,16,18,5,8,4,22,24
10,https://media.api-sports.io/football/teams/175.png,Hamburger SV,34,11,8,15,40,46,-6,41,WLDWL,,5,4,8,20,23,6,4,7,20,23
11,https://media.api-sports.io/football/teams/184.png,FC Ingolstadt 04,34,10,10,14,33,42,-9,40,LLLDL,,7,5,5,22,18,3,5,9,11,24
12,https://media.api-sports.io/football/teams/170.png,FC Augsburg,34,9,11,14,42,52,-10,38,LDDWW,,3,6,8,18,27,6,5,6,24,25
13,https://media.api-sports.io/football/teams/162.png,Werder Bremen,34,10,8,16,50,65,-15,38,WDWLW,,5,5,7,27,30,5,3,9,23,35
14,https://media.api-sports.io/football/teams/181.png,SV Darmstadt 98,34,9,11,14,38,53,-15,38,LWLLW,,2,6,9,15,29,7,5,5,23,24
15,https://media.api-sports.io/football/teams/167.png,1899 Hoffenheim,34,9,10,15,39,54,-15,37,LLWLW,,6,6,5,22,25,3,4,10,17,29
16,https://media.api-sports.io/football/teams/169.png,Eintracht Frankfurt,34,9,9,16,34,52,-18,36,LWWWL,Relegation Play-off,6,6,5,22,24,3,3,11,12,28
17,https://media.api-sports.io/football/teams/172.png,VfB Stuttgart,34,9,6,19,50,75,-25,33,LLLLL,Relegation,6,1,10,22,32,3,5,9,28,43
18,https://media.api-sports.io/football/teams/166.png,Hannover 96,34,7,4,23,31,62,-31,25,LWLDW,Relegation,4,0,13,15,30,3,4,10,16,32
