Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/157.png,Bayern Munich,34,27,3,4,92,28,64,84,LWWWW,UEFA Champions League,14,2,1,56,15,13,1,3,36,13
6,https://media.api-sports.io/football/teams/173.png,RB Leipzig,34,15,8,11,57,53,4,53,WWLLD,UEFA Champions League,9,4,4,34,26,6,4,7,23,27
4,https://media.api-sports.io/football/teams/165.png,Borussia Dortmund,34,15,10,9,64,47,17,55,LLDWL,UEFA Champions League,9,4,4,40,21,6,6,5,24,26
8,https://media.api-sports.io/football/teams/169.png,Eintracht Frankfurt,34,14,7,13,45,45,0,49,LWLLL,UEFA Champions League,8,4,5,26,19,6,3,8,19,26
5,https://media.api-sports.io/football/teams/168.png,Bayer Leverkusen,34,15,10,9,58,44,14,55,WDLLW,UEFA Europa League,8,5,4,29,19,7,5,5,29,25
2,https://media.api-sports.io/football/teams/174.png,FC Schalke 04,34,18,9,7,53,37,16,63,WWDDW,UEFA Europa League,10,5,2,27,15,8,4,5,26,22
12,https://media.api-sports.io/football/teams/170.png,FC Augsburg,34,10,11,13,43,46,-3,41,LLDWD,,6,4,7,24,24,4,7,6,19,22
3,https://media.api-sports.io/football/teams/167.png,1899 Hoffenheim,34,15,10,9,66,48,18,55,WLWWW,,11,4,2,38,16,4,6,7,28,32
13,https://media.api-sports.io/football/teams/166.png,Hannover 96,34,10,9,15,44,54,-10,39,LWLLD,,8,3,6,28,25,2,6,9,16,29
9,https://media.api-sports.io/football/teams/163.png,Borussia Monchengladbach,34,13,8,13,47,52,-5,47,LWDWL,,9,4,4,28,20,4,4,9,19,32
10,https://media.api-sports.io/football/teams/159.png,Hertha Berlin,34,10,13,11,43,46,-3,43,LLDWW,,5,7,5,23,27,5,6,6,20,19
15,https://media.api-sports.io/football/teams/160.png,SC Freiburg,34,8,12,14,32,56,-24,36,WLWLL,,7,6,4,17,17,1,6,10,15,39
16,https://media.api-sports.io/football/teams/161.png,VfL Wolfsburg,34,6,15,13,36,48,-12,33,WLLLD,,3,8,6,23,25,3,7,7,13,23
7,https://media.api-sports.io/football/teams/172.png,VfB Stuttgart,34,15,6,13,36,36,0,51,WWWWD,,10,4,3,18,9,5,2,10,18,27
11,https://media.api-sports.io/football/teams/162.png,Werder Bremen,34,10,12,12,37,40,-3,42,WDDLD,,6,7,4,20,17,4,5,8,17,23
14,https://media.api-sports.io/football/teams/164.png,FSV Mainz 05,34,9,9,16,38,52,-14,36,LWWLW,Relegation Play-off,7,3,7,22,21,2,6,9,16,31
17,https://media.api-sports.io/football/teams/175.png,Hamburger SV,34,8,7,19,29,53,-24,31,WLWWL,Relegation,6,4,7,17,19,2,3,12,12,34
18,https://media.api-sports.io/football/teams/192.png,FC Koln,34,5,7,22,35,70,-35,22,LLLDL,Relegation,3,5,9,20,30,2,2,13,15,40
