Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/168.png,Bayer Leverkusen,34,28,6,0,89,24,65,90,WWWDD,Promotion - Champions League (Group Stage: ),14,3,0,47,11,14,3,0,42,13
2,https://media.api-sports.io/football/teams/172.png,VfB Stuttgart,34,23,4,7,78,39,39,73,WWWDL,Promotion - Champions League (Group Stage: ),13,3,1,50,15,10,1,6,28,24
3,https://media.api-sports.io/football/teams/157.png,Bayern Munich,34,23,3,8,94,45,49,72,LWLWW,Promotion - Champions League (Group Stage: ),14,1,2,53,12,9,2,6,41,33
4,https://media.api-sports.io/football/teams/173.png,RB Leipzig,34,19,8,7,77,39,38,65,DDDWW,Promotion - Champions League (Group Stage: ),11,4,2,40,12,8,4,5,37,27
5,https://media.api-sports.io/football/teams/165.png,Borussia Dortmund,34,18,9,7,68,43,25,63,WLWLD,Promotion - Champions League (Group Stage: ),10,3,4,37,22,8,6,3,31,21
6,https://media.api-sports.io/football/teams/169.png,Eintracht Frankfurt,34,11,14,9,51,50,1,47,DDLLW,Promotion - Europa League (Group Stage: ),7,8,2,29,21,4,6,7,22,29
7,https://media.api-sports.io/football/teams/167.png,1899 Hoffenheim,34,13,7,14,66,66,0,46,WWDLW,Promotion - Europa Conference League (Qualification: ),6,5,6,31,31,7,2,8,35,35
8,https://media.api-sports.io/football/teams/180.png,FC Heidenheim,34,10,12,12,50,55,-5,42,WDDWL,,7,5,5,30,26,3,7,7,20,29
9,https://media.api-sports.io/football/teams/162.png,Werder Bremen,34,11,9,14,48,54,-6,42,WDDWW,,7,4,6,29,26,4,5,8,19,28
10,https://media.api-sports.io/football/teams/160.png,SC Freiburg,34,11,9,14,45,58,-13,42,LDDLD,,5,7,5,28,30,6,2,9,17,28
11,https://media.api-sports.io/football/teams/170.png,FC Augsburg,34,10,9,15,50,60,-10,39,LLLLL,,6,6,5,26,26,4,3,10,24,34
12,https://media.api-sports.io/football/teams/161.png,VfL Wolfsburg,34,10,7,17,41,56,-15,37,LLWWW,,6,4,7,25,25,4,3,10,16,31
13,https://media.api-sports.io/football/teams/164.png,FSV Mainz 05,34,7,14,13,39,51,-12,35,WWDDD,,6,5,6,23,18,1,9,7,16,33
14,https://media.api-sports.io/football/teams/163.png,Borussia Monchengladbach,34,7,13,14,56,67,-11,34,LDDDL,,5,6,6,27,26,2,7,8,29,41
15,https://media.api-sports.io/football/teams/182.png,Union Berlin,34,9,6,19,33,58,-25,33,WLLDL,,7,2,8,22,30,2,4,11,11,28
16,https://media.api-sports.io/football/teams/176.png,Vfl Bochum,34,7,12,15,42,74,-32,33,LLWWL,Bundesliga (Relegation),5,8,4,26,29,2,4,11,16,45
17,https://media.api-sports.io/football/teams/192.png,1.FC K̦ln,34,5,12,17,28,60,-32,27,LWDDL,Relegation - 2. Bundesliga,4,4,9,15,28,1,8,8,13,32
18,https://media.api-sports.io/football/teams/181.png,SV Darmstadt 98,34,3,8,23,30,86,-56,17,LLLLW,Relegation - 2. Bundesliga,1,3,13,15,44,2,5,10,15,42
