Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/50.png,Manchester City,38,32,2,4,95,23,72,98,WWWWW,Promotion - Champions League (Group Stage),18,0,1,57,12,14,2,3,38,11
2,https://media.api-sports.io/football/teams/40.png,Liverpool,38,30,7,1,89,22,67,97,WWWWW,Promotion - Champions League (Group Stage),17,2,0,55,10,13,5,1,34,12
3,https://media.api-sports.io/football/teams/49.png,Chelsea,38,21,9,8,63,39,24,72,DWDDL,Promotion - Champions League (Group Stage),12,6,1,39,12,9,3,7,24,27
4,https://media.api-sports.io/football/teams/47.png,Tottenham,38,23,2,13,67,39,28,71,DLLWL,Promotion - Champions League (Group Stage),12,2,5,34,16,11,0,8,33,23
5,https://media.api-sports.io/football/teams/42.png,Arsenal,38,21,7,10,73,51,22,70,WDLLL,Promotion - Europa League (Group Stage),14,3,2,42,16,7,4,8,31,35
6,https://media.api-sports.io/football/teams/33.png,Manchester United,38,19,9,10,65,54,11,66,LDDLL,Promotion - Europa League (Qualification),10,6,3,33,25,9,3,7,32,29
7,https://media.api-sports.io/football/teams/39.png,Wolves,38,16,9,13,47,46,1,57,LWWWD,,10,4,5,28,21,6,5,8,19,25
8,https://media.api-sports.io/football/teams/45.png,Everton,38,15,9,14,54,46,8,54,DWDWL,,10,4,5,30,21,5,5,9,24,25
9,https://media.api-sports.io/football/teams/46.png,Leicester,38,15,7,16,51,48,3,52,DLWDL,,8,3,8,24,20,7,4,8,27,28
10,https://media.api-sports.io/football/teams/48.png,West Ham,38,15,7,16,52,55,-3,52,WWWDL,,9,4,6,32,27,6,3,10,20,28
11,https://media.api-sports.io/football/teams/38.png,Watford,38,14,8,16,52,59,-7,50,LLLDW,,8,3,8,26,28,6,5,8,26,31
12,https://media.api-sports.io/football/teams/52.png,Crystal Palace,38,14,7,17,51,53,-2,49,WWDWL,,5,5,9,19,23,9,2,8,32,30
13,https://media.api-sports.io/football/teams/34.png,Newcastle,38,12,9,17,42,48,-6,45,WLDWW,,8,1,10,24,25,4,8,7,18,23
14,https://media.api-sports.io/football/teams/35.png,Bournemouth,38,13,6,19,56,70,-14,45,LWDLW,,8,5,6,30,25,5,1,13,26,45
15,https://media.api-sports.io/football/teams/44.png,Burnley,38,11,7,20,45,68,-23,40,LLLDW,,7,2,10,24,32,4,5,10,21,36
16,https://media.api-sports.io/football/teams/41.png,Southampton,38,9,12,17,45,65,-20,39,DLDDL,,5,8,6,27,30,4,4,11,18,35
17,https://media.api-sports.io/football/teams/51.png,Brighton,38,9,9,20,35,60,-25,36,LDDLD,,6,5,8,19,28,3,4,12,16,32
18,https://media.api-sports.io/football/teams/43.png,Cardiff,38,10,4,24,34,69,-35,34,WLLLW,Relegation - Championship,6,2,11,21,38,4,2,13,13,31
19,https://media.api-sports.io/football/teams/36.png,Fulham,38,7,5,26,34,81,-47,26,LLWWW,Relegation - Championship,6,3,10,22,36,1,2,16,12,45
20,https://media.api-sports.io/football/teams/37.png,Huddersfield,38,3,7,28,22,76,-54,16,DDLLL,Relegation - Championship,2,3,14,10,31,1,4,14,12,45
