Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/50.png,Manchester City,38,29,6,3,99,26,73,93,WDWWW,Promotion - Champions League (Group Stage),15,2,2,58,15,14,4,1,41,11
2,https://media.api-sports.io/football/teams/40.png,Liverpool,38,28,8,2,94,26,68,92,WWWDW,Promotion - Champions League (Group Stage),15,4,0,49,9,13,4,2,45,17
3,https://media.api-sports.io/football/teams/49.png,Chelsea,38,21,11,6,76,33,43,74,WDWDL,Promotion - Champions League (Group Stage),9,7,3,37,22,12,4,3,39,11
4,https://media.api-sports.io/football/teams/47.png,Tottenham,38,22,5,11,69,40,29,71,WWWDW,Promotion - Champions League (Group Stage),13,1,5,38,19,9,4,6,31,21
5,https://media.api-sports.io/football/teams/42.png,Arsenal,38,22,3,13,61,48,13,69,WLLWW,Promotion - Europa League (Group Stage),13,2,4,35,17,9,1,9,26,31
6,https://media.api-sports.io/football/teams/33.png,Manchester United,38,16,10,12,57,57,0,58,LLWDL,Promotion - Europa League (Group Stage),10,5,4,32,22,6,5,8,25,35
7,https://media.api-sports.io/football/teams/48.png,West Ham,38,16,8,14,60,51,9,56,LDWLL,Promotion - Europa Conference League (Qualification),9,5,5,33,26,7,3,9,27,25
8,https://media.api-sports.io/football/teams/46.png,Leicester,38,14,10,14,62,59,3,52,WDWWL,,10,4,5,34,23,4,6,9,28,36
9,https://media.api-sports.io/football/teams/51.png,Brighton,38,12,15,11,42,44,-2,51,WDWWD,,5,7,7,19,23,7,8,4,23,21
10,https://media.api-sports.io/football/teams/39.png,Wolves,38,15,6,17,38,43,-5,51,LDLDL,,7,3,9,20,25,8,3,8,18,18
11,https://media.api-sports.io/football/teams/34.png,Newcastle,38,13,10,15,44,62,-18,49,WWLLW,,8,6,5,26,27,5,4,10,18,35
12,https://media.api-sports.io/football/teams/52.png,Crystal Palace,38,11,15,12,50,46,4,48,WLDWW,,7,8,4,27,17,4,7,8,23,29
13,https://media.api-sports.io/football/teams/55.png,Brentford,38,13,7,18,48,56,-8,46,LWWLD,,7,3,9,22,21,6,4,9,26,35
14,https://media.api-sports.io/football/teams/66.png,Aston Villa,38,13,6,19,52,54,-2,45,LDDLW,,6,5,8,29,29,7,1,11,23,25
15,https://media.api-sports.io/football/teams/41.png,Southampton,38,9,13,16,43,67,-24,40,LLLLD,,6,7,6,23,24,3,6,10,20,43
16,https://media.api-sports.io/football/teams/45.png,Everton,38,11,6,21,43,66,-23,39,LWLDW,,9,2,8,27,25,2,4,13,16,41
17,https://media.api-sports.io/football/teams/63.png,Leeds,38,9,11,18,42,79,-37,38,WDLLL,,4,6,9,19,38,5,5,9,23,41
18,https://media.api-sports.io/football/teams/44.png,Burnley,38,7,14,17,34,53,-19,35,LDLLW,Relegation - Championship,5,6,8,18,25,2,8,9,16,28
19,https://media.api-sports.io/football/teams/38.png,Watford,38,6,5,27,34,77,-43,23,LLDLL,Relegation - Championship,2,2,15,17,46,4,3,12,17,31
20,https://media.api-sports.io/football/teams/71.png,Norwich,38,5,7,26,23,84,-61,22,LDLLL,Relegation - Championship,3,3,13,12,43,2,4,13,11,41
