Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/50.png,Manchester City,38,28,7,3,96,34,62,91,WWWWW,Promotion - Champions League (Group Stage: ),14,5,0,51,16,14,2,3,45,18
2,https://media.api-sports.io/football/teams/42.png,Arsenal,38,28,5,5,91,29,62,89,WWWWW,Promotion - Champions League (Group Stage: ),15,2,2,48,16,13,3,3,43,13
3,https://media.api-sports.io/football/teams/40.png,Liverpool,38,24,10,4,86,41,45,82,WDWDL,Promotion - Champions League (Group Stage: ),15,3,1,49,17,9,7,3,37,24
4,https://media.api-sports.io/football/teams/66.png,Aston Villa,38,20,8,10,76,61,15,68,LDLDW,Promotion - Champions League (Group Stage: ),12,4,3,48,28,8,4,7,28,33
5,https://media.api-sports.io/football/teams/47.png,Tottenham,38,20,6,12,74,61,13,66,WLWLL,Promotion - Europa League (Group Stage: ),13,0,6,38,27,7,6,6,36,34
6,https://media.api-sports.io/football/teams/49.png,Chelsea,38,18,9,11,77,63,14,63,WWWWW,Promotion - Europa Conference League (Qualification: ),11,4,4,44,26,7,5,7,33,37
7,https://media.api-sports.io/football/teams/34.png,Newcastle,38,18,6,14,85,62,23,60,WLDWW,,12,4,3,49,22,6,2,11,36,40
8,https://media.api-sports.io/football/teams/33.png,Manchester United,38,18,6,14,57,58,-1,60,WWLLD,Promotion - Europa League (Group Stage: ),10,3,6,31,28,8,3,8,26,30
9,https://media.api-sports.io/football/teams/48.png,West Ham,38,14,10,14,60,74,-14,52,LWLDL,,7,8,4,31,28,7,2,10,29,46
10,https://media.api-sports.io/football/teams/52.png,Crystal Palace,38,13,10,15,57,58,-1,49,WWWDW,,8,4,7,37,26,5,6,8,20,32
11,https://media.api-sports.io/football/teams/51.png,Brighton,38,12,12,14,55,62,-7,48,LLDWL,,8,6,5,30,27,4,6,9,25,35
12,https://media.api-sports.io/football/teams/35.png,Bournemouth,38,13,9,16,54,67,-13,48,LLLWW,,7,6,6,27,28,6,3,10,27,39
13,https://media.api-sports.io/football/teams/36.png,Fulham,38,13,8,17,55,61,-6,47,WLDDL,,9,2,8,31,24,4,6,9,24,37
14,https://media.api-sports.io/football/teams/39.png,Wolves,38,13,7,18,50,65,-15,46,LLLWL,,8,3,8,26,30,5,4,10,24,35
15,https://media.api-sports.io/football/teams/45.png,Everton,38,13,9,16,40,51,-11,40,LWDWW,,8,4,7,22,18,5,5,9,18,33
16,https://media.api-sports.io/football/teams/55.png,Brentford,38,10,9,19,56,65,-9,39,LWDLW,,5,7,7,29,34,5,2,12,27,31
17,https://media.api-sports.io/football/teams/65.png,Nottingham Forest,38,9,9,20,49,67,-18,32,WLWLL,,5,5,9,27,30,4,4,11,22,37
18,https://media.api-sports.io/football/teams/1359.png,Luton,38,6,8,24,52,85,-33,26,LLDLL,Relegation - Championship,4,4,11,28,37,2,4,13,24,48
19,https://media.api-sports.io/football/teams/44.png,Burnley,38,5,9,24,41,78,-37,24,LLLDW,Relegation - Championship,2,4,13,19,43,3,5,11,22,35
20,https://media.api-sports.io/football/teams/62.png,Sheffield Utd,38,3,7,28,35,104,-69,16,LLLLL,Relegation - Championship,2,4,13,19,57,1,3,15,16,47
