Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/85.png,Paris Saint Germain,38,25,8,5,69,23,46,83,WWWDW,UEFA Champions League,13,4,2,34,10,12,4,3,35,13
2,https://media.api-sports.io/football/teams/81.png,Marseille,38,21,8,9,42,36,6,71,DLWWW,UEFA Champions League,12,4,3,25,18,9,4,6,17,18
3,https://media.api-sports.io/football/teams/80.png,Lyon,38,19,10,9,61,38,23,67,WDLWD,UEFA Champions League Qualifiers,11,4,4,34,17,8,6,5,27,21
4,https://media.api-sports.io/football/teams/84.png,Nice,38,18,10,10,57,46,11,64,WDLWW,UEFA Europa League,11,5,3,35,17,7,5,7,22,29
5,https://media.api-sports.io/football/teams/1063.png,Saint Etienne,38,16,15,7,60,32,28,63,DWLDD,,11,4,4,36,13,5,11,3,24,19
6,https://media.api-sports.io/football/teams/79.png,Lille,38,16,14,8,59,40,19,62,DDWLD,,9,7,3,32,16,7,7,5,27,24
7,https://media.api-sports.io/football/teams/78.png,Bordeaux,38,13,16,9,40,34,6,55,WLWDD,,8,8,3,22,19,5,8,6,18,15
8,https://media.api-sports.io/football/teams/97.png,Lorient,38,14,11,13,57,58,-1,53,LLWLL,,10,6,3,38,25,4,5,10,19,33
9,https://media.api-sports.io/football/teams/82.png,Montpellier,38,15,7,16,54,51,3,52,LDLWL,,11,5,3,33,14,4,2,13,21,37
10,https://media.api-sports.io/football/teams/96.png,Toulouse,38,13,12,13,49,47,2,51,WWLWD,,7,7,5,30,26,6,5,8,19,21
11,https://media.api-sports.io/football/teams/105.png,Valenciennes,38,12,12,14,49,53,-4,48,WLWDD,,9,6,4,32,21,3,6,10,17,32
12,https://media.api-sports.io/football/teams/1305.png,Bastia,38,13,8,17,50,66,-16,47,DWWLD,,9,3,7,30,26,4,5,10,20,40
13,https://media.api-sports.io/football/teams/94.png,Rennes,38,13,7,18,48,59,-11,46,LDLLW,,6,5,8,23,27,7,2,10,25,32
14,https://media.api-sports.io/football/teams/93.png,Reims,38,10,13,15,33,42,-9,43,DWLDD,,8,7,4,20,13,2,6,11,13,29
15,https://media.api-sports.io/football/teams/115.png,Sochaux,38,10,11,17,41,57,-16,41,DLWWD,,6,5,8,25,26,4,6,9,16,31
16,https://media.api-sports.io/football/teams/3006.png,Evian TG,38,10,10,18,46,53,-7,40,LWWLL,,6,7,6,31,25,4,3,12,15,28
17,https://media.api-sports.io/football/teams/98.png,Ajaccio,38,9,15,14,39,51,-12,40,LDLDW,,7,5,7,19,20,2,10,7,20,31
18,https://media.api-sports.io/football/teams/102.png,Nancy,38,9,11,18,38,58,-20,38,WLLLD,Relegation,5,5,9,17,26,4,6,9,21,32
19,https://media.api-sports.io/football/teams/110.png,Estac Troyes,38,8,13,17,43,61,-18,37,LWWWL,Relegation,6,8,5,25,24,2,5,12,18,37
20,https://media.api-sports.io/football/teams/106.png,Stade Brestois 29,38,8,5,25,32,62,-30,29,LLLLL,Relegation,5,3,11,17,26,3,2,14,15,36
