Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/85.png,Paris Saint Germain,27,22,2,3,75,24,51,68,WWDWW,,12,1,1,44,11,10,1,2,31,13
2,https://media.api-sports.io/football/teams/81.png,Marseille,28,16,8,4,41,29,12,56,DWLWW,,8,4,2,21,14,8,4,2,20,15
3,https://media.api-sports.io/football/teams/94.png,Rennes,28,15,5,8,38,24,14,50,WWWLD,,9,2,3,25,14,6,3,5,13,10
4,https://media.api-sports.io/football/teams/79.png,Lille,28,15,4,9,35,27,8,49,WWWLW,,11,2,2,24,9,4,2,7,11,18
5,https://media.api-sports.io/football/teams/93.png,Reims,28,10,11,7,26,21,5,41,WDDWL,,5,7,2,12,7,5,4,5,14,14
6,https://media.api-sports.io/football/teams/84.png,Nice,28,11,8,9,41,38,3,41,WDDWL,,8,4,3,28,20,3,4,6,13,18
7,https://media.api-sports.io/football/teams/80.png,Lyon,28,11,7,10,42,27,15,40,LWWDL,,5,4,4,17,7,6,3,6,25,20
8,https://media.api-sports.io/football/teams/82.png,Montpellier,28,11,7,10,35,34,1,40,LWLLW,,10,2,2,26,10,1,5,8,9,24
9,https://media.api-sports.io/football/teams/91.png,Monaco,28,11,7,10,44,44,0,40,LDDWW,,8,2,4,29,22,3,5,6,15,22
10,https://media.api-sports.io/football/teams/77.png,Angers,28,11,6,11,28,33,-5,39,WWWLL,,8,3,4,20,13,3,3,7,8,20
11,https://media.api-sports.io/football/teams/95.png,Strasbourg,27,11,5,11,32,32,0,38,LDDWW,,7,3,3,22,14,4,2,8,10,18
12,https://media.api-sports.io/football/teams/78.png,Bordeaux,28,9,10,9,40,34,6,37,DDLDW,,4,5,4,19,12,5,5,5,21,22
13,https://media.api-sports.io/football/teams/83.png,Nantes,28,11,4,13,28,31,-3,37,LLWDD,,6,2,6,11,11,5,2,7,17,20
14,https://media.api-sports.io/football/teams/106.png,Stade Brestois 29,28,8,10,10,34,37,-3,34,LLDWD,,6,6,2,21,11,2,4,8,13,26
15,https://media.api-sports.io/football/teams/112.png,Metz,28,8,10,10,27,35,-8,34,WWLDL,,5,4,5,18,17,3,6,5,9,18
16,https://media.api-sports.io/football/teams/89.png,Dijon,28,7,9,12,27,37,-10,30,WLDDD,,6,6,2,20,15,1,3,10,7,22
17,https://media.api-sports.io/football/teams/1063.png,Saint Etienne,28,8,6,14,29,45,-16,30,DLDLL,,4,6,4,15,18,4,0,10,14,27
18,https://media.api-sports.io/football/teams/92.png,Nimes,28,7,6,15,29,44,-15,27,LLLWW,,6,2,6,17,15,1,4,9,12,29
19,https://media.api-sports.io/football/teams/87.png,Amiens,28,4,11,13,31,50,-19,23,DLDDL,,3,5,6,17,23,1,6,7,14,27
20,https://media.api-sports.io/football/teams/96.png,Toulouse,28,3,4,21,22,58,-36,13,LLLLL,,3,0,10,11,24,0,4,11,11,34
