Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/496.png,Juventus,38,29,4,5,75,20,55,91,WLWWW,UEFA Champions League,16,2,1,37,6,13,2,4,38,14
2,https://media.api-sports.io/football/teams/492.png,Napoli,38,25,7,6,80,32,48,82,WWWLW,UEFA Champions League,16,3,0,49,12,9,4,6,31,20
3,https://media.api-sports.io/football/teams/497.png,AS Roma,38,23,11,4,83,41,42,80,WWWWW,UEFA Champions League Qualifiers,13,5,1,44,17,10,6,3,39,24
4,https://media.api-sports.io/football/teams/505.png,Inter,38,20,7,11,50,38,12,67,LWLWL,UEFA Europa League,13,2,4,29,15,7,5,7,21,23
5,https://media.api-sports.io/football/teams/502.png,Fiorentina,38,18,10,10,60,42,18,64,WDDLL,UEFA Europa League,11,5,3,34,16,7,5,7,26,26
6,https://media.api-sports.io/football/teams/488.png,Sassuolo,38,16,13,9,49,40,9,61,WWWWD,,8,8,3,25,20,8,5,6,24,20
7,https://media.api-sports.io/football/teams/489.png,AC Milan,38,15,12,11,49,43,6,57,LWDLD,,9,6,4,28,22,6,6,7,21,21
8,https://media.api-sports.io/football/teams/487.png,Lazio,38,15,9,14,52,52,0,54,LWWLL,,10,3,6,32,23,5,6,8,20,29
9,https://media.api-sports.io/football/teams/491.png,Chievo,38,13,11,14,43,45,-2,50,DLDLW,,7,8,4,25,18,6,3,10,18,27
10,https://media.api-sports.io/football/teams/495.png,Genoa,38,13,7,18,45,48,-3,46,LWLLW,,10,3,6,29,19,3,4,12,16,29
11,https://media.api-sports.io/football/teams/511.png,Empoli,38,12,10,16,40,49,-9,46,WLDLW,,7,6,6,22,20,5,4,10,18,29
12,https://media.api-sports.io/football/teams/503.png,Torino,38,12,9,17,52,55,-3,45,LLWLL,,6,6,7,25,25,6,3,10,27,30
13,https://media.api-sports.io/football/teams/499.png,Atalanta,38,11,12,15,41,47,-6,45,WDLWD,,8,6,5,27,21,3,6,10,14,26
14,https://media.api-sports.io/football/teams/500.png,Bologna,38,11,9,18,33,45,-12,42,DLDWL,,5,5,9,20,21,6,4,9,13,24
15,https://media.api-sports.io/football/teams/498.png,Sampdoria,38,10,10,18,48,61,-13,40,LLLWD,,8,4,7,29,25,2,6,11,19,36
16,https://media.api-sports.io/football/teams/522.png,Palermo,38,10,9,19,38,65,-27,39,WDWWD,,6,4,9,24,30,4,5,10,14,35
17,https://media.api-sports.io/football/teams/494.png,Udinese,38,10,9,19,35,60,-25,39,LDLLW,,6,4,9,18,28,4,5,10,17,32
18,https://media.api-sports.io/football/teams/519.png,Carpi,38,9,11,18,37,57,-20,38,WLLWD,Relegation,6,5,8,23,26,3,6,10,14,31
19,https://media.api-sports.io/football/teams/512.png,Frosinone,38,8,7,23,35,76,-41,31,LLDLL,Relegation,6,4,9,18,26,2,3,14,17,50
20,https://media.api-sports.io/football/teams/504.png,Verona,38,5,13,20,34,63,-29,28,LWLWL,Relegation,4,6,9,21,30,1,7,11,13,33
