Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/496.png,Juventus,38,30,5,3,86,24,62,95,WDWWL,,16,1,2,45,8,14,4,1,41,16
2,https://media.api-sports.io/football/teams/492.png,Napoli,38,28,7,3,77,29,48,91,WWDLW,,14,3,2,43,18,14,4,1,34,11
3,https://media.api-sports.io/football/teams/497.png,AS Roma,38,23,8,7,61,28,33,77,WDWWW,,11,2,6,31,19,12,6,1,30,9
4,https://media.api-sports.io/football/teams/505.png,Inter,38,20,12,6,66,30,36,72,WLWLW,,11,5,3,37,16,9,7,3,29,14
5,https://media.api-sports.io/football/teams/487.png,Lazio,38,21,9,8,89,49,40,72,LDDWW,,9,5,5,45,21,12,4,3,44,28
6,https://media.api-sports.io/football/teams/489.png,AC Milan,38,18,10,10,56,42,14,64,WDWWL,,10,5,4,25,16,8,5,6,31,26
7,https://media.api-sports.io/football/teams/499.png,Atalanta,38,16,12,10,57,39,18,60,LDDWW,,9,6,4,30,18,7,6,6,27,21
8,https://media.api-sports.io/football/teams/502.png,Fiorentina,38,16,9,13,54,46,8,57,LLWWL,,8,5,6,27,22,8,4,7,27,24
9,https://media.api-sports.io/football/teams/503.png,Torino,38,13,15,10,54,46,8,54,WWDLL,,8,6,5,29,18,5,9,5,25,28
10,https://media.api-sports.io/football/teams/498.png,Sampdoria,38,16,6,16,56,60,-4,54,LLLWL,,12,3,4,36,20,4,3,12,20,40
11,https://media.api-sports.io/football/teams/488.png,Sassuolo,38,11,10,17,29,59,-30,43,LWWLW,,4,7,8,11,22,7,3,9,18,37
12,https://media.api-sports.io/football/teams/495.png,Genoa,38,11,8,19,33,43,-10,41,LLLLW,,6,3,10,23,27,5,5,9,10,16
13,https://media.api-sports.io/football/teams/491.png,Chievo,38,10,10,18,36,59,-23,40,WWWLL,,7,6,6,22,24,3,4,12,14,35
14,https://media.api-sports.io/football/teams/494.png,Udinese,38,12,4,22,48,63,-15,40,WWLDL,,6,2,11,24,30,6,2,11,24,33
15,https://media.api-sports.io/football/teams/500.png,Bologna,38,11,6,21,40,52,-12,39,LLLLD,,6,4,9,25,26,5,2,12,15,26
16,https://media.api-sports.io/football/teams/490.png,Cagliari,38,11,6,21,33,61,-28,39,WWLLD,,6,3,10,18,30,5,3,11,15,31
17,https://media.api-sports.io/football/teams/493.png,Spal,38,8,14,16,39,59,-20,38,WLWWL,,5,8,6,22,29,3,6,10,17,30
18,https://media.api-sports.io/football/teams/501.png,Crotone,38,9,8,21,40,66,-26,35,LDLWW,,6,6,7,23,25,3,2,14,17,41
19,https://media.api-sports.io/football/teams/504.png,Verona,38,7,4,27,30,78,-48,25,LLLLL,,5,1,13,14,35,2,3,14,16,43
20,https://media.api-sports.io/football/teams/506.png,Benevento,38,6,3,29,33,84,-51,21,LWLDW,,5,2,12,23,40,1,1,17,10,44
